id,status,one_liner,relation,domain,ai_level,total_score,priority_score,price,rejection_reasons
IDEA-2026-0074,candidate,家属面向孕产妇：拍餐食，AI结合病史给出吃法建议,家属->孕产妇,健康/饮食,L3,95,98.0,29.9元/月,
IDEA-2026-0075,candidate,家属面向孕产妇：拍孕产，AI结合孕产相关记录给出吃法建议,家属->孕产妇,健康/孕产,L3,95,98.0,29.9元/月,
IDEA-2026-0088,candidate,家属面向孕产妇：围绕体征记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/体征,L3,95,98.0,29.9元/月,
IDEA-2026-0089,candidate,家属面向孕产妇：围绕孕产记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/孕产,L3,95,98.0,29.9元/月,
IDEA-2026-0001,candidate,成年子女面向老年父母：拍餐食，AI结合病史给出吃法建议,成年子女->老年父母,健康/饮食,L3,97,93.8,29.9元/月,
IDEA-2026-0002,candidate,成年子女面向老年父母：拍体检，AI结合体检相关记录给出吃法建议,成年子女->老年父母,健康/体检,L3,97,93.8,29.9元/月,
IDEA-2026-0003,candidate,成年子女面向老年父母：拍体征，AI结合体征相关记录给出吃法建议,成年子女->老年父母,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0016,candidate,成年子女面向老年父母：共同记录症状与诱因，AI识别高风险模式并提醒复查,成年子女->老年父母,健康/康复,L3,97,93.8,29.9元/月,
IDEA-2026-0017,candidate,成年子女面向老年父母：围绕用药记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,成年子女->老年父母,健康/用药,L3,97,93.8,29.9元/月,
IDEA-2026-0018,candidate,成年子女面向老年父母：围绕体征记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,成年子女->老年父母,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0033,candidate,家属面向慢病患者：拍餐食，AI结合病史给出吃法建议,家属->慢病患者,健康/饮食,L3,97,93.8,29.9元/月,
IDEA-2026-0034,candidate,家属面向慢病患者：拍用药，AI结合用药相关记录给出吃法建议,家属->慢病患者,健康/用药,L3,97,93.8,29.9元/月,
IDEA-2026-0035,candidate,家属面向慢病患者：拍体征，AI结合体征相关记录给出吃法建议,家属->慢病患者,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0048,candidate,家属面向慢病患者：共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->慢病患者,健康/康复,L3,97,93.8,29.9元/月,
IDEA-2026-0049,candidate,家属面向慢病患者：围绕用药记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->慢病患者,健康/用药,L3,97,93.8,29.9元/月,
IDEA-2026-0050,candidate,家属面向慢病患者：围绕体征记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->慢病患者,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0055,candidate,家属面向术后康复患者：拍体征，AI结合体征相关记录给出吃法建议,家属->术后康复患者,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0056,candidate,家属面向术后康复患者：拍康复，AI结合康复相关记录给出吃法建议,家属->术后康复患者,健康/康复,L3,97,93.8,29.9元/月,
IDEA-2026-0069,candidate,家属面向术后康复患者：共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->术后康复患者,健康/康复,L3,97,93.8,29.9元/月,
IDEA-2026-0070,candidate,家属面向术后康复患者：围绕体征记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->术后康复患者,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0022,candidate,父母面向学龄儿童：拍作业，AI逐题批改并生成同类巩固题,父母->学龄儿童,学业/作业,L2,93,87.2,19.9元/月,
IDEA-2026-0023,candidate,父母面向学龄儿童：围绕考试场景，拍作业，AI逐题批改并生成同类巩固题,父母->学龄儿童,学业/考试,L2,93,87.2,19.9元/月,
IDEA-2026-0024,candidate,父母面向学龄儿童：围绕错题场景，拍作业，AI逐题批改并生成同类巩固题,父母->学龄儿童,学业/错题,L2,93,87.2,19.9元/月,
IDEA-2026-0025,candidate,父母面向学龄儿童：围绕知识点场景，拍作业，AI逐题批改并生成同类巩固题,父母->学龄儿童,学业/知识点,L2,93,87.2,19.9元/月,
IDEA-2026-0026,candidate,父母面向学龄儿童：AI根据错题与进度生成下一周学习计划,父母->学龄儿童,学业/复盘,L2,93,87.2,19.9元/月,
IDEA-2026-0027,candidate,父母面向学龄儿童：围绕错题场景，AI根据错题与进度生成下一周学习计划,父母->学龄儿童,学业/错题,L2,93,87.2,19.9元/月,
IDEA-2026-0028,candidate,父母面向学龄儿童：围绕知识点场景，AI根据错题与进度生成下一周学习计划,父母->学龄儿童,学业/知识点,L2,93,87.2,19.9元/月,
IDEA-2026-0076,candidate,家属面向孕产妇：拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->孕产妇,健康/用药,L2,93,87.2,19.9元/月,
IDEA-2026-0077,candidate,家属面向孕产妇：围绕饮食记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->孕产妇,健康/饮食,L2,93,87.2,19.9元/月,
